file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\MetricsTest\Dubbo\dubbo-common\src\test\java\org\apache\dubbo\common\utils\ConfigUtilsTest.java,org.apache.dubbo.common.utils.ConfigUtilsTest,testMergeValuesDeleteDefault/0,false,103,2,0,0,0,1,6,4,0,1,0,6,0,0,0,0,0,0,4,0,1,0,0,0,0,0,8,0,0,false
C:\MetricsTest\Dubbo\dubbo-common\src\test\java\org\apache\dubbo\common\utils\ConfigUtilsTest.java,org.apache.dubbo.common.utils.ConfigUtilsTest,testMergeValuesDeleteDefault_2/0,false,113,2,0,0,0,1,5,4,0,1,0,5,0,0,0,0,0,0,5,0,1,0,0,0,0,0,11,0,0,false
C:\MetricsTest\Dubbo\dubbo-common\src\test\java\org\apache\dubbo\common\utils\ConfigUtilsTest.java,org.apache.dubbo.common.utils.ConfigUtilsTest,testReplaceProperty2/0,false,144,3,0,0,0,1,5,14,0,5,0,5,0,0,0,0,0,0,7,0,6,0,0,0,0,0,14,0,0,false
C:\MetricsTest\Dubbo\dubbo-common\src\test\java\org\apache\dubbo\common\utils\ConfigUtilsTest.java,org.apache.dubbo.common.utils.ConfigUtilsTest,tearDown/0,false,54,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\MetricsTest\Dubbo\dubbo-common\src\test\java\org\apache\dubbo\common\utils\ConfigUtilsTest.java,org.apache.dubbo.common.utils.ConfigUtilsTest,testGetPropertyDefaultValue/0,false,202,1,0,0,0,1,3,3,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,0,0,false
C:\MetricsTest\Dubbo\dubbo-common\src\test\java\org\apache\dubbo\common\utils\ConfigUtilsTest.java,org.apache.dubbo.common.utils.ConfigUtilsTest,testLoadMigrationRule/0,false,305,1,0,0,0,1,4,6,0,2,0,4,0,0,0,0,0,0,1,0,2,0,0,0,0,0,8,0,0,false
C:\MetricsTest\Dubbo\dubbo-common\src\test\java\org\apache\dubbo\common\utils\ConfigUtilsTest.java,org.apache.dubbo.common.utils.ConfigUtilsTest,testLoadPropertiesMultiFileNotRootPath/0,false,276,1,0,0,0,1,4,8,0,2,0,4,0,0,0,0,0,0,7,0,2,0,0,0,0,0,18,0,0,false
C:\MetricsTest\Dubbo\dubbo-common\src\test\java\org\apache\dubbo\common\utils\ConfigUtilsTest.java,org.apache.dubbo.common.utils.ConfigUtilsTest,testGetProperty/0,false,197,1,0,0,0,1,3,3,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,0,false
C:\MetricsTest\Dubbo\dubbo-common\src\test\java\org\apache\dubbo\common\utils\ConfigUtilsTest.java,org.apache.dubbo.common.utils.ConfigUtilsTest,testPropertiesWithStructedValue/0,false,295,1,0,0,0,1,4,6,0,2,0,4,0,0,0,0,0,0,3,0,2,0,0,0,0,0,11,0,0,false
C:\MetricsTest\Dubbo\dubbo-common\src\test\java\org\apache\dubbo\common\utils\ConfigUtilsTest.java,org.apache.dubbo.common.utils.ConfigUtilsTest,testLoadPropertiesMultiFileNotRootPathException/0,false,262,2,0,0,0,2,6,9,0,0,0,6,0,0,0,0,1,0,3,0,0,0,1,0,0,0,35,0,0,false
C:\MetricsTest\Dubbo\dubbo-common\src\test\java\org\apache\dubbo\common\utils\ConfigUtilsTest.java,org.apache.dubbo.common.utils.ConfigUtilsTest,testLoadPropertiesOneFileNotRootPath/0,false,247,1,0,0,0,1,4,9,0,2,0,4,0,0,0,0,0,0,9,0,2,0,0,0,0,0,18,0,0,false
